year,sex,number_of_cm,name,age,group
2008,m,10,木村　拓哉,35,
2008,m,10,松岡　修造,40,
2008,m,10,世界のナベアツ,38,
2008,m,9,香取　慎吾,31,
2008,m,8,玉木　宏,28,
2008,m,7,小栗　旬,25,
2008,m,7,岡田　准一,27,
2008,m,7,谷原　章介,35,
2008,m,7,草_　剛,33,
2008,m,7,星野　仙一,61,
2008,m,7,長瀬　智也,29,
2008,m,7,山下　智久,22,
2008,m,7,チュートリアル,_,
2008,m,7,山口　智充,39,
2008,m,6,佐藤　弘道,39,
2008,m,6,阿部　寛,43,
2008,m,6,佐藤　浩市,47,
2008,m,6,イチロー,34,
2008,m,6,ウエンツ瑛士,22,
2008,m,6,松岡　昌宏,31,
2008,m,6,佐藤　隆太,28,
2008,m,6,つるの　剛士,32,
2008,m,6,おぎやはぎ,_,
2008,f,14,ベッキー,24,
2008,f,11,宮_　あおい,22,
2008,f,11,相武　紗季,22,
2008,f,10,仲間　由紀恵,28,
2008,f,10,上戸　彩,22,
2008,f,10,篠原　涼子,34,
2008,f,10,堀北　真希,19,
2008,f,9,蛯原　友里,28,
2008,f,8,天海　祐希,40,
2008,f,8,藤原　紀香,36,
2008,f,8,菅野　美穂,30,
2008,f,8,蒼井　優,22,
2008,f,7,エド・はるみ,_,
2008,f,7,伊東　美咲,30,
2008,f,7,榮倉　奈々,20,
2008,f,7,長澤　まさみ,20,
2008,f,7,成海　璃子,15,
2008,f,7,宮里　藍,22,
2008,f,7,浅田　真央,17,
2008,f,6,柴咲　コウ,26,
2008,f,6,綾瀬　はるか,23,
2008,f,6,新垣　結衣,19,
2008,f,6,加藤　ローサ,22,
2008,f,6,上野　樹里,21,
2008,f,6,北川　景子,21,
2008,f,6,柳原　可奈子,22,
2008,f,6,小池　栄子,27,
2008,f,6,香里奈,24,
2008,f,6,小林　麻央,25,
2008,f,6,水川　あさみ,24,
2008,f,6,井川　遥,31,
2008,f,6,知花　くらら,26,
2009,m,13,石川　遼,17,
2009,m,13,木村　拓哉,36,
2009,m,10,香取　慎吾,32,
2009,m,9,つるの　剛士,33,
2009,m,9,岡田　将生,19,
2009,m,8,イチロー,35,
2009,m,8,オードリー,_,
2009,m,8,草_　剛,34,
2009,m,8,松岡　修造,41,
2009,m,7,小栗　旬,26,
2009,m,7,佐藤　隆太,29,
2009,m,7,玉木　宏,29,
2009,m,7,徳井　義実,33,
2009,m,7,水嶋　ヒロ,24,
2009,m,7,金田　哲,23,
2009,m,6,阿部　寛,44,
2009,m,6,稲垣　吾郎,35,
2009,m,6,劇団ひとり,32,
2009,m,6,谷原　章介,36,
2009,m,6,妻夫木　聡,28,
2009,m,6,中居　正広,36,
2009,m,6,長瀬　智也,30,
2009,f,13,上戸　彩,23,
2009,f,11,大橋　のぞみ,9,
2009,f,10,相武　紗季,23,
2009,f,10,菅野　美穂,31,
2009,f,10,仲間　由紀恵,29,
2009,f,10,宮_　あおい,23,
2009,f,9,藤原　紀香,37,
2009,f,9,ベッキー,25,
2009,f,8,蒼井　優,23,
2009,f,8,天海　祐希,41,
2009,f,8,蛯原　友里,29,
2009,f,7,浅田　真央,18,
2009,f,7,新垣　結衣,20,
2009,f,7,杏,22,
2009,f,7,榮倉　奈々,21,
2009,f,7,篠原　涼子,35,
2009,f,7,多部　未華子,20,
2009,f,7,戸田　恵梨香,20,
2009,f,7,堀北　真希,20,
2009,f,7,眞鍋　かをり,28,
2009,f,7,真矢　みき,45,
2009,f,7,水川　あさみ,25,
2009,f,7,柳原　可奈子,23,
2010,m,17,石川　遼,18,
2010,m,11,木村　拓哉,37,
2010,m,10,加藤　清史郎,8,
2010,m,9,山口　智充,41,
2010,m,8,佐藤　健,21,
2010,m,8,松岡　修造,42,
2010,m,8,松本　潤,26,
2010,m,7,イチロー,36,
2010,m,7,岡田　将生,20,
2010,m,7,小栗　旬,27,
2010,m,7,香取　慎吾,33,
2010,m,7,櫻井　翔,28,
2010,m,7,佐藤　隆太,30,
2010,m,7,向井　理,28,
2010,m,6,相葉　雅紀,27,
2010,m,6,阿部　寛,45,
2010,m,6,大野　智,29,
2010,m,6,オードリー,_,
2010,m,6,金田　哲,24,
2010,m,6,草_　剛,35,
2010,m,6,玉木　宏,30,
2010,m,6,二宮　和也,26,
2010,m,6,間　寛平,60,
2010,m,6,三浦　春馬,19,
2010,f,13,上戸　彩,24,
2010,f,12,相武　紗季,24,
2010,f,11,大橋　のぞみ,10,
2010,f,11,宮_　あおい,24,
2010,f,10,蒼井　優,24,
2010,f,10,小嶋　陽菜,21,
2010,f,9,木下　優樹菜,22,
2010,f,9,佐々木　希,22,
2010,f,9,ベッキー,26,
2010,f,9,宮澤　佐江,19,
2010,f,8,天海　祐希,42,
2010,f,8,上村　愛子,30,
2010,f,8,大島　優子,21,
2010,f,8,柏木　由紀,18,
2010,f,8,篠田　麻里子,24,
2010,f,8,仲間　由紀恵,30,
2010,f,8,前田　敦子,18,
2010,f,8,渡辺　麻友,16,
2010,f,7,浅田　真央,19,
2010,f,7,新垣　結衣,21,
2010,f,7,板野　友美,18,
2010,f,7,貫地谷　しほり,24,
2010,f,7,菅野　美穂,32,
2010,f,7,北川　景子,23,
2010,f,7,篠原　涼子,36,
2010,f,7,高城　亜樹,18,
2010,f,7,高橋　みなみ,18,
2010,f,7,戸田　恵梨香,21,
2010,f,7,仲　里依紗,20,
2010,f,7,松下　奈緒,25,
2010,f,7,南　明奈,20,
2011,m,17,石川　遼,19,
